Ilce,Enlem,Boylam,Alan,Kapasite,Mahalle / Adres
ALİAĞA,38.795378,26.965197,56566,22626,ATATÜRK  - ENKA SPOR SALONU - İNÖNÜ CAD. VE GÜNEŞ SOKAK ARASI
ALİAĞA,38.701797,27.019169,13897,5559,BARBAROS HAYRETTİNPAŞA  - 2204 SOKAK VE 2205 SOKAK ARASI
ALİAĞA,38.703000,27.023386,3689,1476,BARBAROS HAYRETTİNPAŞA  - DÜĞÜN SALONU VE BAHÇESİ - 2226 SOKAK
ALİAĞA,38.702400,27.026317,3599,1440,BARBAROS HAYRETTİNPAŞA  -  ESKİ HELVACI BELEDİYESİ ÖNÜNDEKİ MEYDAN -MUSTAFA KEMAL ATATÜRK CAD. VE MİTHATPAŞA CAD. KESİŞİMİ
ALİAĞA,38.719950,26.964736,455,182,BOZKÖY  - BOZKÖY KÖY CAMİSİ ÖNÜ - ŞAHİN SOKAK
ALİAĞA,38.751974,26.909809,4671,1868,ÇAKMAKLI  - SENAKENT KÜMEEVLER SOKAK
ALİAĞA,38.852886,27.034589,7830,3132,ÇALTILIDERE  - ÇALTILIDERE İLKÖĞRETİM OKULU BAHÇESİ VE ÖNÜNDEKİ HALI SAHA
ALİAĞA,38.756850,27.057875,1109,444,ÇITAK - CUMHURİYET MEYDANI - ÇITAK KÖY CAMİSİ ÖNÜ
ALİAĞA,38.698108,27.020497,9000,3600,FATİH  - 2418 SOKAK
ALİAĞA,38.775550,27.018269,851,340,GÜZELHİSAR  - GÜZELHİSAR MAH. MEYDANI - MERKEZ CAD. VE TEPE KÜMEEVLER CAD. KESİŞİMİ
ALİAĞA,38.774236,27.017953,4953,1981,GÜZELHİSAR  - HALI SAHA - TEPE KÜMEEVLER CAD.
ALİAĞA,38.867261,27.061575,23454,9382,HACIÖMERLİ  - CAMİ ÖNÜ - MENEKŞE SOKAK VE YAVUZ SOKAK ARASI
ALİAĞA,38.734792,26.922461,1800,720,"HOROZGEDİĞİ  - ESKİ HOROZGEDİĞİ İLKOKULU BAHÇESİ - HOROZGEDİĞİ MAH. MEYDANI KARŞISI, ÇEŞME SOKAK "
ALİAĞA,38.843828,27.118186,1900,760,KALABAK  - KALABAK MAH. KÖY MEYDANI
ALİAĞA,38.760231,27.112550,4327,1731,KARAKUZU  - HALI SAHA - PALAMUT SOKAK
ALİAĞA,38.801708,26.970064,12323,4929,"KAZIM DİRİK  - ESKİ BELEDİYE BİNASI ARKASI,  AŞIKLAR YOLU CAD., VE ONAT KUTLAR SOKAK KESİŞİMİ"
ALİAĞA,38.801531,26.963409,11178,4471,KAZIM DİRİK  - 391 SOKAK VE 392 SOKAK KESİŞİMİ
ALİAĞA,38.798873,26.974859,1400,560,KURTULUŞ  - İRFAN ONARAN PARKI - 315/1 SOKAK VE KAZIM ONARAN SOKAK KESİŞİMİ
ALİAĞA,38.802499,26.972774,25493,10197,KÜLTÜR - ZEYTİNLİPARK - HÜKÜMET CAD. VE ONAT KUTLAR SOKAK KESİŞİMİ
ALİAĞA,38.801234,26.987208,3071,1228,"KÜLTÜR - AÇIK DÜĞÜN ALANI - CİCİ SOKAK, 719 SOKAK VE 720 SOKAK ARASI"
ALİAĞA,38.700914,27.034775,2796,1118,MİMAR SİNAN - 2619 SOKAK VE 2620 SOKAK ARASI
ALİAĞA,38.763631,26.989556,1605,642,SAMURLU  - SAMURLU MAH. MEYDANI VE CAMİ BAHÇESİ - CUMHURİYET 1. SOKAK
ALİAĞA,38.789400,26.962564,17127,6851,SİTELER - NECMETTİN GİRİTLİOĞLU CAD. VE ZAFER CAD. ARASI
ALİAĞA,38.788220,26.957438,3800,1520,SİTELER - DOKUZ EYLÜL CAD. VE 470 SOKAK KESİŞİMİ
ALİAĞA,38.784229,26.953394,4200,1680,SİTELER - NECMETTİN GİRİTLİOĞLU CAD. VE HUZUR CAD. ARASI
ALİAĞA,38.789772,26.960278,4461,1784,SİTELER - EMEK CAD. VE ÖZLEM CAD. KESİŞİMİ
ALİAĞA,38.774651,27.083260,4527,1811,UZUNHASANLAR  - TİSNA PARK - YENİ KÜMEEVLER CAD.
ALİAĞA,38.830980,26.981830,3724,1490,YALI  - 121 SOKAK
ALİAĞA,38.834728,26.975340,3000,1200,YALI  - TONAL YALÇIN PARKI - MERKEZ KÜMEEVLER SOKAK
ALİAĞA,38.819184,26.984802,6300,2520,YALI  - MEHMET ÖRNEK PARKI - 176 SOKAK
ALİAĞA,38.821204,26.985882,1450,580,YALI  - 23 NİSAN SOKAK VE 160/2 SOKAK KESİŞİMİ
ALİAĞA,38.821428,26.985170,550,220,YALI  - 19 MAYIS CAD. VE 160 SOKAK KESİŞİMİ
ALİAĞA,38.825319,26.985408,1750,700,YALI  - TAYYİP BARAN PARKI - 145 SOK.
ALİAĞA,38.814860,26.984050,2400,960,YALI  - 186 SOKAK VE 191 SOKAK KESİŞİMİ
ALİAĞA,38.790829,26.975949,61326,24530,YENİ  - CENGİZ TOPEL CAD. VE 572 SOKAK ARASI
ALİAĞA,38.882533,27.065506,1710,684,YENİŞAKRAN  - FATİH SULTAN MEHMET CAD. VE 3116 SOKAK KESİŞİMİ
ALİAĞA,38.886144,27.071117,10509,4204,YENİŞAKRAN  - 3286 SOKAK
ALİAĞA,38.890317,27.062108,8265,3306,YENİŞAKRAN  - FEVZİ PAŞA CAD. VE 3162 SOKAK ARASI
ALİAĞA,38.915714,27.060089,4755,1902,YENİŞAKRAN  - 3437 SOKAK VE 3439 SOKAK ARASI
BALÇOVA,38.394487,27.047324,8679,3472,"BAHÇELERARASI  - ŞEHİT TEĞMEN AKIN AKIN PARKI - MİTHATPAŞA CAD.
KOÇTAŞ YANI"
BALÇOVA,38.394350,27.051563,7817,3127,"BAHÇELERARASI  - MİTHATPAŞA CAD.
PALMİYE AVM VE AGORA AVM ARASI"
BALÇOVA,38.384288,27.061420,1880,752,ÇETİN EMEÇ  - DUYGU SOKAK TATBİKAT CAMİ YANI
BALÇOVA,38.379348,27.059855,2300,920,"ÇETİN EMEÇ  - GÜVENEVLER PARKI - YAREN SOKAK, ESKİ MEZARLIK YOLU"
BALÇOVA,38.395920,27.060755,2100,840,EĞİTİM  - GAZİ OSMAN PAŞA SOKAK
BALÇOVA,38.385291,27.058423,1946,778,"FEVZİ ÇAKMAK
 - CUMHURİYET MEYDANI - ATA CAD. BALÇOVA BELEDİYESİ ÖNÜ"
BALÇOVA,38.387731,27.043448,56220,22488,"FEVZİ ÇAKMAK
 - MESİRE ALANI, SAKARYA CAD. "
BALÇOVA,38.395202,27.040386,11889,4756,"İNCİRALTI - CUMHURİYET PARKI - MİTHATPAŞA CAD.
KİPA AVM YANI"
BALÇOVA,38.389464,27.038133,21130,8452,KORUTÜRK  - SPOR TESİSİ ALANI - VALİ HÜSEYİN ÖĞÜTCEN CAD.
BALÇOVA,38.392955,27.043697,2132,853,KORUTÜRK  - YÜZBAŞI ŞERAFETTİN PARKI - ORTANCA SOKAK
BALÇOVA,38.389016,27.049772,2416,966,ONUR  - TAŞ PARK - YEŞİL CAMİ SOKAK
BALÇOVA,38.390719,27.057954,942,377,ONUR  - DURU PARK - ATA CAD. VE DALYA SOKAK KESİŞİMİ
BALÇOVA,38.384196,27.057411,526,210,"TELEFERİK
 - TELEFERİK MAH. MUHTARLIK PARKI - ENVER PAŞA SOKAK"
BALÇOVA,38.381880,27.057068,1437,575,"TELEFERİK
 - BEKİR ÖZGÜR PARKI -UZUN HASAN SOKAK VE SARIPINAR SOKAK KESİŞİMİ "
BALÇOVA,38.382969,27.054162,3872,1549,"TELEFERİK
 - ŞEHİT TANK TEĞMEN MUHAMMED CİHANGİR ÇUBUKÇU PARKI - PINAR SOKAK, METİN OKTAY SOKAK "
BAYINDIR,38.274716,27.624530,2000,800,ALANKIYI - AMBAR KAVAK KÜMEEVLERİ
BAYINDIR,38.243288,27.780279,9554,3822,ALANKÖY - UZUN SOKAK
BAYINDIR,38.182753,27.493631,5886,2354,ARIKBAŞI - ARIKBAŞI MAH. MEYDANI - CUMHURİYET SOKAK
BAYINDIR,38.282076,27.575961,3018,1207,BALCILAR - ESKİ OKUL BAHÇESİ - BALCILAR YOLU SOKAK
BAYINDIR,38.197873,27.714408,500,200,BURUNCUK - BURUNCUK SOKAK
BAYINDIR,38.223248,27.646931,4985,1994,CAMİ - ATATÜRK CAD.
BAYINDIR,38.191901,27.552222,8940,3576,CUMHURİYET - CANLI İLYAS TUNA PARKI - AYŞE HANIM SOKAK
BAYINDIR,38.242618,27.732534,750,300,ÇENİKLER - ÇENİKLER SOKAK
BAYINDIR,38.290796,27.516851,1720,688,ÇINARDİBİ - ÖZKASAP KÜMEEVLERİ
BAYINDIR,38.218289,27.657478,3000,1200,DEMİRCİLİK - SANAYİ PARKI - HÜKÜMET ÖNÜ CAD.
BAYINDIR,38.250333,27.679884,2120,848,DEREKÖY - ESKİ OKUL BAHÇESİ - ILICA SOKAK
BAYINDIR,38.200476,27.579776,2300,920,ELİFLİ - ELİFLİ SOKAK
BAYINDIR,38.240678,27.690893,1200,480,ERGENLİ - CEVİZ SOKAK
BAYINDIR,38.215601,27.650931,5400,2160,"
FATİH - FATİH PARKI - TOROS CAD."
BAYINDIR,38.201502,27.602119,6500,2600,FURUNLU - ESKİ FURUNLU KÖYÜ YOLU SOKAK
BAYINDIR,38.239547,27.755754,1200,480,GAZİLER - ALANKÖY YOLU KÜMEEVLERİ SOKAK
BAYINDIR,38.146885,27.502559,11500,4600,HASKÖY - VALİ KAZIM DİRİK CAD.
BAYINDIR,38.170132,27.469646,4430,1772,HAVUZBAŞI - HAVUZBAŞI KÖY İÇİ SOKAK
BAYINDIR,38.168196,27.497282,4542,1817,İBRAHİM ÇAVUŞ - ÇIRPI AÇIK PAZARI - MUSLUOĞLU SOKAK
BAYINDIR,38.252694,27.751666,900,360,KABAAĞAÇ - KABAAĞAÇ SOKAK
BAYINDIR,38.194873,27.614979,1500,600,KARAHALİLLİ - KARAHALİLLİ PARKI - 2. ÇAYIR SOKAK
BAYINDIR,38.245400,27.749023,500,200,KARAHAYIT - KARAHAYIT SOKAK
BAYINDIR,38.229459,27.750164,500,200,KARAPINAR - KARAPINAR SOKAK
BAYINDIR,38.242780,27.637354,500,200,KIZILCAAĞAÇ - KIZILCAAĞAÇ KÜMEEVLERİ
BAYINDIR,38.206024,27.512663,2300,920,KIZILCAOVA - ATATÜRK SOKAK
BAYINDIR,38.171139,27.497818,8000,3200,MEKTEP - ÇIRPI VALİ KAZIM DİRİK PARKI - VALİ KAZIM DİRİK CAD.
BAYINDIR,38.221345,27.648123,7400,2960,MİTHATPAŞA - KANİ BEY PARKI - ATATÜRK CAD.
BAYINDIR,38.219970,27.645893,26000,10400,MİTHATPAŞA - BAYINDIR ŞEHİR STADI - ALBAY ALPAT CAD.
BAYINDIR,38.301457,27.559001,850,340,OSMANLAR - TÜFEKÇİ KÜMEEVLERİ
BAYINDIR,38.160536,27.743553,1176,470,PINARLI - YANIK ÇİFTLİK SOKAK
BAYINDIR,38.194118,27.750331,1450,580,PINARLI - SULTAN SOKAK
BAYINDIR,38.213580,27.644153,3400,1360,SADIK PAŞA - BAYSAN PARKI - HACI SİNAN CAD.
BAYINDIR,38.216394,27.644513,3400,1360,SADIK PAŞA - SADIK PAŞA PARKI - AĞUSTOSLU SOKAK
BAYINDIR,38.216448,27.642240,1400,560,SADIK PAŞA - NECMETTİN ERBAKAN PARKI - AĞUSTOSLU SOKAK
BAYINDIR,38.166023,27.619206,1500,600,TOKATBAŞI - SERÇE SOKAK
BAYINDIR,38.225491,27.679066,1500,600,TURAN - BAŞÖĞRETMEN ATATÜRK SOKAK
BAYINDIR,38.201292,27.701259,7440,2976,"YAKACIK - ŞİRİN KIR SOKAK, BURUNCUK YOLU"
BAYINDIR,38.209677,27.542811,4316,1726,YAKAPINAR - YAKAPINAR CEMEVİ - A. MUZAFFER TUNÇAĞ SOKAK
BAYINDIR,38.204171,27.728957,5400,2160,ZEYTİNOVA - ZEYTİNOVA MAH. MEYDANI - ŞEHİT ERDAL CANBULAT CAD.
BAYRAKLI,38.474230,27.156260,41927,16771,75. YIL - 1620/40 SOKAK VE 1620/41 SOKAK ARASI
BAYRAKLI,38.477090,27.168780,281137,112455,CENGİZHAN - DR. EKREM AKURGAL YAŞAM PARKI - 1620/39 SOKAK
BAYRAKLI,38.472110,27.154740,6844,2738,"FUAT EDİP
BAKSI - TERAS CAFE - 1609/12 SOKAK"
BAYRAKLI,38.466470,27.141420,12365,4946,GÜMÜŞPALA - 7000 SOKAK VE 7035 SOKAK ARASI
BAYRAKLI,38.490250,27.132490,5875,2350,KÖRFEZ - KÖRFEZ CAFE - 7382/1 SOKAK VE 7384 SOKAK KESİŞİMİ
BAYRAKLI,38.491590,27.132160,12941,5176,KÖRFEZ - KÖRFEZ EVLERİ - 7382 SOKAK
BAYRAKLI,38.495126,27.135937,8261,3304,KÖRFEZ - 7383 SOKAK VE 7383/4 SOKAK ARASI
BAYRAKLI,38.465170,27.194520,10829,4332,MANAVKUYU - DUMLUPINAR PARKI - DUMLUPINAR CAD. VE 249/2 SOKAK ARASI
BAYRAKLI,38.462090,27.191660,4036,1614,MANAVKUYU - FATİH SULTAN MEHMET CAD. VE 275/1 SOKAK ARASI
BAYRAKLI,38.462060,27.188900,5062,2025,MANAVKUYU - 249/5 SOKAK VE 275/7 SOKAK KESİŞİMİ
BAYRAKLI,38.460130,27.191840,3557,1423,MANAVKUYU - UNESCO GENÇLİK PARKI - 274/5 SOKAK VE 275/2 SOKAK KESİŞİMİ
BAYRAKLI,38.462410,27.191760,5266,2106,MANAVKUYU - FATİH SULTAN MEHMET CAD. VE 248 SOKAK KESİŞİMİ
BAYRAKLI,38.464780,27.189311,21254,8502,"MANAVKUYU - YZB. İBRAHİM
HAKKI CAD. VE YAVUZ CAD. KESİŞİMİ  "
BAYRAKLI,38.453339,27.185000,20813,8325,MANSUROĞLU - 283/9 SOKAK VE 286/6 SOKAK ARASI
BAYRAKLI,38.456232,27.194227,6605,2642,MANSUROĞLU - 269/2 SOKAK VE 269/3 SOKAK ARASI
BAYRAKLI,38.454760,27.189800,4417,1767,MANSUROĞLU - 269/12 SOKAK VE 273/1 SOKAK ARASI
BAYRAKLI,38.458620,27.194830,5887,2355,MANSUROĞLU - MANSUR AYDIN PARKI - 257 SOKAK VE 258 SOKAK ARASI
BAYRAKLI,38.456100,27.189320,19994,7998,MANSUROĞLU - 75. YIL PARKI - 273/1 SOKAK VE 273/8 SOKAK ARASI
BAYRAKLI,38.453518,27.186763,20813,8325,MANSUROĞLU - HAMDİ DALAN SAĞLIK SİTESİ -  286/5 SOKAK VE 286/6 SOKAK ARASI
BAYRAKLI,38.451781,27.182027,10196,4078,MANSUROĞLU - İSLAM KERİMOV CAD. VE 288/8 SOKAK KESİŞİMİ
BAYRAKLI,38.454270,27.188450,25852,10341,MANSUROĞLU - ŞEHİT POLİS FETHİ SEKİN PARKI - ALİYA İZZET BEGOVİÇ CAD.
BAYRAKLI,38.457500,27.197560,2910,1164,MANSUROĞLU - 260 SOKAK VE 262 SOKAK KESİŞİMİ
BAYRAKLI,38.483670,27.128990,23680,9472,ONUR - ATATÜRK AÇIK HAVA TİYATROSU - 7361/9 SOKAK
BAYRAKLI,38.480530,27.136820,12183,4873,"ORG. NAFİZ
GÜRMAN  - ORG. NAFİZ GÜRMAN SEMT OYUN ALANI - 7168/1 SOKAK VE 7171 SOKAK ARASI"
BAYRAKLI,38.475090,27.184610,7847,3139,OSMANGAZİ - 5192/18 SOKAK
BAYRAKLI,38.464162,27.185418,13395,5358,"OSMANGAZİ - YZB. İBRAHİM
HAKKI CAD. VE YAVUZ CAD. KESİŞİMİ "
BAYRAKLI,38.483160,27.125420,56318,22527,"POSTACILAR - ÇINAR PARKI - 7368/5 SOKAK, 7651 SOKAK, 7667 SOKAKLAR"
BAYRAKLI,38.476280,27.115710,8190,3276,SOĞUKKUYU - 1847/10 SOKAK VE 1847/14 SOKAK KESİŞİMİ
BAYRAKLI,38.476924,27.117138,12380,4952,SOĞUKKUYU - MUTLU PARKI - 1847/10 SOKAK VE 1847/31 SOKAK ARASI
BAYRAKLI,38.478550,27.121480,18559,7424,SOĞUKKUYU - SOĞUKKUYU SEMT PARKI - 1844/7 SOKAK VE 1844/15 SOKAK KESİŞİMİ
BAYRAKLI,38.466070,27.178390,14320,5728,TEPEKULE - 1643/27 SOKAK VE 1643/30 SOKAK KESİŞİMİ
BAYRAKLI,38.496204,27.143000,14790,5916,YAMANLAR - DOĞANÇAY MEZARLIĞININ GÜNEYDOĞUSU - 7353/14 SOKAK VE 7355 SOKAK ARASI
BAYRAKLI,38.494330,27.146730,17960,7184,YAMANLAR - DÜNYA BARIŞI ANITI ÇEVRESİ - 7353 SOKAK VE 7355 SOKAK ARASI
BAYRAKLI,38.496660,27.144400,22111,8844,"YAMANLAR - 7355 SOKAĞIN
KUZEYİ"
BERGAMA,39.176286,27.275608,600,240,AHMETBEYLER - AHMETBEYLER SOKAK
BERGAMA,39.308893,27.293293,450,180,AKÇENGER - AKÇENGER SOKAK
BERGAMA,39.113482,27.092018,2500,1000,ALACALAR - ALACALAR MAH. MUHTARLIĞI BİNASI ÖNÜ - KÖY İÇİ YOLU
BERGAMA,39.288119,27.384747,350,140,ALHATLI - ALHATLI MERKEZ SOKAK
BERGAMA,39.223544,27.379547,5000,2000,ALİBEYLİ - ALİBEYLİ SOKAK
BERGAMA,39.055208,27.185636,200,80,ARMAĞANLAR - ARMAĞANLAR SOKAK
BERGAMA,39.249975,26.966300,1750,700,AŞAĞIBEY - ABDULGANİ SOKAK
BERGAMA,39.270262,27.011217,4000,1600,AŞAĞICUMA - OKUL BAHÇESİ VE ÇEVRESİ - AŞAĞICUMA SOKAK
BERGAMA,39.251561,27.467028,2000,800,AŞAĞIILGINDERE - AŞAĞIILGINDERE MAH. MUHTARLIĞI BİNASI YANI - AŞAĞIILGINDERE SOKAK
BERGAMA,39.031618,27.044691,3500,1400,AŞAĞIKIRIKLAR - OKUL BAHÇESİ VE ÇEVRESİ - AŞAĞIKIRIKLAR SOKAK
BERGAMA,39.103291,27.190758,80000,32000,ATATÜRK - ESKİ FABRİKA ALANI - FATİH CAD. VE ŞEHİT BÜLENT AVŞAR CAD. KESİŞİMİ
BERGAMA,38.906803,27.199100,250,100,ATÇILAR - ATÇILAR SOKAK
BERGAMA,38.995114,27.208958,150,60,AVUNDUK - AVUNDUK MAH. MUHTARLIĞI BİNASI ÇEVRESİ - AVUNDUK SOKAK
BERGAMA,39.211492,27.203914,300,120,AVUNDURUK - AVUNDURUK SOKAK
BERGAMA,39.189447,27.334604,5000,2000,AYASKENT - OKUL BAHÇESİ VE ÇEVRESİ - EĞİTİM CAD. VE KURTULUŞ CAD. KESİŞİMİ
BERGAMA,39.266803,26.981464,750,300,AYVATLAR - AYVATLAR SOKAK
BERGAMA,39.191703,27.335470,1900,760,AZİZİYE - AYASPAŞA CAD.
BERGAMA,39.101400,27.152153,5500,2200,BAHÇELİEVLER - ILICA TESİS ALANI - EFELER CAD. VE YEŞİLLİK CAD. KESİŞİMİ
BERGAMA,38.953211,27.202036,200,80,BALABAN - BALABAN MAH. MUHTARLIĞI BİNASI ÇEVRESİ - BALABAN SOKAK
BERGAMA,38.925294,27.245839,600,240,BAYRAMCILAR - BAYRAMCILAR SOKAK
BERGAMA,38.942747,27.278586,90,36,BEKİRLER - BEKİRLER SOKAK
BERGAMA,39.027680,27.112825,2500,1000,BOZKÖY - BOZKÖY SOKAK
BERGAMA,38.970025,27.116392,3000,1200,BOZYERLER - 2777 SOKAK
BERGAMA,39.185094,27.425944,3500,1400,BÖLCEK - BİLGE CAD.
BERGAMA,39.022892,27.156683,225,90,CEVAPLI - CEVAPLI MAH. MUHTARLIĞI BİNASI ÖNÜ - CEVAPLI SOKAK
BERGAMA,39.142831,27.117522,300,120,ÇAKIRLAR - ÇAKIRLAR MERKEZ SOKAK
BERGAMA,39.001392,27.109864,320,128,ÇALIBAHÇE - ÇALIBAHÇE SOKAK
BERGAMA,39.238142,27.323733,220,88,ÇALTIKORU  - ÇALTIKORU SOKAK
BERGAMA,39.318967,27.140578,1670,668,ÇAMAVLU - ÇAMAVLU SOKAK
BERGAMA,39.087833,27.080578,415,166,ÇAMKÖY - ÇAMKÖY SOKAK
BERGAMA,39.252667,27.393975,200,80,ÇAMOBA - ÇAMOBA SOKAK
BERGAMA,39.220750,27.219586,950,380,ÇAMTEPE (MAHMUDİYE)  - MAHMUDİYE SOKAK
BERGAMA,39.269435,27.310212,1800,720,ÇELTİKÇİ - ÇELTİKÇİ SOKAK
BERGAMA,39.179600,27.276733,1400,560,ÇİTKÖY - İLKOKUL BAHÇESİ - ÇİTKÖY SOKAK
BERGAMA,39.304714,27.240672,500,200,ÇOBANLAR - ÇOBANLAR SOKAK
BERGAMA,39.262480,27.229153,1300,520,ÇÜRÜKBAĞ - ÇÜRÜKBAĞ SOKAK
BERGAMA,39.131425,27.297239,1000,400,DAĞISTAN - DAĞISTAN SOKAK VE 3091/3 SOKAK KESİŞİMİ
